name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Soundtrack*Drivetrain,0.735,0.525,2,-11.924,1,0.0736,0.000154,0.819,0.159,0.174,130.022,audio_features,6lPe2GDdfGnYu18DbxN8iU,spotify:track:6lPe2GDdfGnYu18DbxN8iU,https://api.spotify.com/v1/tracks/6lPe2GDdfGnYu18DbxN8iU,https://api.spotify.com/v1/audio-analysis/6lPe2GDdfGnYu18DbxN8iU,341671,4
Binder*Freddy Fresh,0.673,0.531,11,-19.697,0,0.0524,0.279,0.915,0.125,0.962,129.074,audio_features,5HGycWsSKb5mP3uOsfBtqF,spotify:track:5HGycWsSKb5mP3uOsfBtqF,https://api.spotify.com/v1/tracks/5HGycWsSKb5mP3uOsfBtqF,https://api.spotify.com/v1/audio-analysis/5HGycWsSKb5mP3uOsfBtqF,263040,4
Evolution ⁵ Technology - JTC Mix*Series - A,0.577,0.89,6,-9.099,1,0.0442,0.0298,0.899,0.123,0.691,130.496,audio_features,3T0tLrPm0YCCp3TeExkpcL,spotify:track:3T0tLrPm0YCCp3TeExkpcL,https://api.spotify.com/v1/tracks/3T0tLrPm0YCCp3TeExkpcL,https://api.spotify.com/v1/audio-analysis/3T0tLrPm0YCCp3TeExkpcL,420265,4
Truth Of Self Evidence - Extended Mix*Reese & Santonio,0.726,0.639,4,-14.221,1,0.085,0.00415,0.0108,0.116,0.388,125.638,audio_features,0E7RYRVeaRcOL3ucFedfi0,spotify:track:0E7RYRVeaRcOL3ucFedfi0,https://api.spotify.com/v1/tracks/0E7RYRVeaRcOL3ucFedfi0,https://api.spotify.com/v1/audio-analysis/0E7RYRVeaRcOL3ucFedfi0,466013,4
Kyrieleison*Second Mission,0.724,0.885,4,-11.477,0,0.0582,0.0305,0.504,0.0637,0.768,113.334,audio_features,3zcZgbRbVvoLjx9rpnMSCJ,spotify:track:3zcZgbRbVvoLjx9rpnMSCJ,https://api.spotify.com/v1/tracks/3zcZgbRbVvoLjx9rpnMSCJ,https://api.spotify.com/v1/audio-analysis/3zcZgbRbVvoLjx9rpnMSCJ,354573,4
Track 4*LFO,0.765,0.517,1,-12.534,1,0.0473,0.00203,0.9,0.0781,0.116,123.973,audio_features,50wNQxYly7jIbZjws56KHl,spotify:track:50wNQxYly7jIbZjws56KHl,https://api.spotify.com/v1/tracks/50wNQxYly7jIbZjws56KHl,https://api.spotify.com/v1/audio-analysis/50wNQxYly7jIbZjws56KHl,313373,4
Psych Jack*Sweet Exorcist,0.8,0.894,7,-7.557,1,0.376,0.34,0.673,0.102,0.438,125.946,audio_features,0svywjRk5YkIhZiptVHDWq,spotify:track:0svywjRk5YkIhZiptVHDWq,https://api.spotify.com/v1/tracks/0svywjRk5YkIhZiptVHDWq,https://api.spotify.com/v1/audio-analysis/0svywjRk5YkIhZiptVHDWq,512067,4
Virtual*The Black Dog,0.685,0.789,10,-9.032,0,0.0639,0.00595,0.904,0.127,0.696,128.71,audio_features,6DJV1yW28sM7zwEudRdt6Q,spotify:track:6DJV1yW28sM7zwEudRdt6Q,https://api.spotify.com/v1/tracks/6DJV1yW28sM7zwEudRdt6Q,https://api.spotify.com/v1/audio-analysis/6DJV1yW28sM7zwEudRdt6Q,630640,4
Neue Dimensionen - Instrumental*Techno Bert,0.672,0.99,7,-8.817,0,0.0302,3.06e-05,0.861,0.323,0.842,121.705,audio_features,79ohvw4ISCEPtqeTTkAVwa,spotify:track:79ohvw4ISCEPtqeTTkAVwa,https://api.spotify.com/v1/tracks/79ohvw4ISCEPtqeTTkAVwa,https://api.spotify.com/v1/audio-analysis/79ohvw4ISCEPtqeTTkAVwa,361167,4
Nicolette - Original Mix*Octave One,0.725,0.879,5,-7.687,0,0.0805,0.0278,0.927,0.0986,0.625,122.87,audio_features,1gzXeIa3aazhGmgRdRRJvF,spotify:track:1gzXeIa3aazhGmgRdRRJvF,https://api.spotify.com/v1/tracks/1gzXeIa3aazhGmgRdRRJvF,https://api.spotify.com/v1/audio-analysis/1gzXeIa3aazhGmgRdRRJvF,273893,4
Seriously - F.U.S.E Remix*Jetstream,0.616,0.621,7,-14.482,1,0.0371,0.0247,0.921,0.125,0.194,130.356,audio_features,20UA2uF3xfl5DcrZUVMSRk,spotify:track:20UA2uF3xfl5DcrZUVMSRk,https://api.spotify.com/v1/tracks/20UA2uF3xfl5DcrZUVMSRk,https://api.spotify.com/v1/audio-analysis/20UA2uF3xfl5DcrZUVMSRk,400707,3
Angels of Altitude (Part 1)*Sinoesin,0.694,0.49,4,-7.86,0,0.0498,8.2e-05,0.932,0.145,0.199,108.944,audio_features,2WSAGQSAntHXqgQldAm6sA,spotify:track:2WSAGQSAntHXqgQldAm6sA,https://api.spotify.com/v1/tracks/2WSAGQSAntHXqgQldAm6sA,https://api.spotify.com/v1/audio-analysis/2WSAGQSAntHXqgQldAm6sA,432836,4
900th Lifetime*Synchrojack,0.797,0.884,2,-7.742,0,0.0653,0.159,0.828,0.109,0.387,128.814,audio_features,6tjAgST4I4U8LaBPpnCdYw,spotify:track:6tjAgST4I4U8LaBPpnCdYw,https://api.spotify.com/v1/tracks/6tjAgST4I4U8LaBPpnCdYw,https://api.spotify.com/v1/audio-analysis/6tjAgST4I4U8LaBPpnCdYw,297828,4
Caves of Steel - Convextion Remix*Interstellar Funk,0.66,0.936,11,-8.642,1,0.0568,4.61e-05,0.83,0.0929,0.16,132.995,audio_features,7cKC6px09Iq0Im8XcvV2jV,spotify:track:7cKC6px09Iq0Im8XcvV2jV,https://api.spotify.com/v1/tracks/7cKC6px09Iq0Im8XcvV2jV,https://api.spotify.com/v1/audio-analysis/7cKC6px09Iq0Im8XcvV2jV,406259,4
Injection*Futurhythm,0.719,0.75,10,-19.073,0,0.0824,0.00298,0.92,0.104,0.765,128.597,audio_features,30fbMQTc9WWCXSgssWZ3FD,spotify:track:30fbMQTc9WWCXSgssWZ3FD,https://api.spotify.com/v1/tracks/30fbMQTc9WWCXSgssWZ3FD,https://api.spotify.com/v1/audio-analysis/30fbMQTc9WWCXSgssWZ3FD,332240,5
CR Acid Trax 1*Sysex,0.688,0.614,6,-12.739,0,0.0665,0.208,0.945,0.113,0.302,122.913,audio_features,0Ksne7zWIiNsBsp48EkIjI,spotify:track:0Ksne7zWIiNsBsp48EkIjI,https://api.spotify.com/v1/tracks/0Ksne7zWIiNsBsp48EkIjI,https://api.spotify.com/v1/audio-analysis/0Ksne7zWIiNsBsp48EkIjI,296369,4
I Think Its in Here*Stasis,0.721,0.822,1,-5.089,0,0.0383,1.79e-05,0.775,0.0598,0.604,134.903,audio_features,2neo57GJKdPe3dcpFZDZnE,spotify:track:2neo57GJKdPe3dcpFZDZnE,https://api.spotify.com/v1/tracks/2neo57GJKdPe3dcpFZDZnE,https://api.spotify.com/v1/audio-analysis/2neo57GJKdPe3dcpFZDZnE,378027,4
Monotone Fantastique*Melody Boy 2000,0.804,0.517,11,-15.915,1,0.127,0.0909,0.943,0.106,0.749,126.021,audio_features,6mzkfUFi7RLJAYx5Oa8AVq,spotify:track:6mzkfUFi7RLJAYx5Oa8AVq,https://api.spotify.com/v1/tracks/6mzkfUFi7RLJAYx5Oa8AVq,https://api.spotify.com/v1/audio-analysis/6mzkfUFi7RLJAYx5Oa8AVq,688182,4
Agraphobia - Original Remastered*LA Synthesis,0.668,0.99,5,-5.712,0,0.0539,0.0138,0.811,0.318,0.636,128.732,audio_features,2lXTNQXnP8GpczdNSgQj8U,spotify:track:2lXTNQXnP8GpczdNSgQj8U,https://api.spotify.com/v1/tracks/2lXTNQXnP8GpczdNSgQj8U,https://api.spotify.com/v1/audio-analysis/2lXTNQXnP8GpczdNSgQj8U,544707,4
French - 2020 Remastered Version*Deepside Ludovic Navarre,0.36,0.894,9,-8.674,0,0.0495,0.226,0.938,0.103,0.421,136.084,audio_features,7xFuR29veElPR2FXuLLsYH,spotify:track:7xFuR29veElPR2FXuLLsYH,https://api.spotify.com/v1/tracks/7xFuR29veElPR2FXuLLsYH,https://api.spotify.com/v1/audio-analysis/7xFuR29veElPR2FXuLLsYH,345816,4
Just Want Another Chance*Reese,0.761,0.42,10,-18.599,1,0.0539,0.0229,0.931,0.0691,0.634,121.022,audio_features,1ihpfnNRphnw7Qhr8XdMp0,spotify:track:1ihpfnNRphnw7Qhr8XdMp0,https://api.spotify.com/v1/tracks/1ihpfnNRphnw7Qhr8XdMp0,https://api.spotify.com/v1/audio-analysis/1ihpfnNRphnw7Qhr8XdMp0,312895,4
